Timestamp,Q1_Marriage_Timeline,Q2_Cost_Realistic,Q3_Biggest_Barrier,Q4_Replace_Shabka,Q5_Reasonable_Shabka,Q6_Willing_To_Do,Q7_Costs_Cause_Delay,Q8_Personally_Affected,Q9_Anxiety,Q10_Delayed_Engagement,Q11_Tradition_Reconsider,Q12_Money_Needed
2026-04-06 15:56:09.121,Within 1 year,"Yes, it's manageable",Gold (Shabka),"No, gold is a non-negotiable tradition",20–50 grams,Work or move abroad,Definitely yes,"Yes, significantly",A little anxious,"Yes, me personally",,
2026-04-06 16:21:04.572,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Very anxious,No,القايمة,
2026-04-06 17:05:48.254,More than 3 years,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,"Ask family for help, Work or move abroad",Definitely yes,"Not yet, but I expect it will",Very anxious,No,Big weddings ,5 million
2026-04-06 17:07:02.545,Within 1 year,It's difficult but possible,Apartment cost,"No, gold is a non-negotiable tradition",1–20 grams,"Delay the wedding, Ask family for help",Definitely yes,"No, not at all",A little anxious,No,,
2026-04-06 17:09:55.189,2–3 years,"No, it's completely unrealistic",Furniture and setup costs,"Yes, but only if both families agree",1–20 grams,Work or move abroad,Definitely yes,Somewhat,Very anxious,No,,5 mil
2026-04-06 18:04:00.389,I have no plans yet,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Not yet, but I expect it will",I avoid thinking about marriage,No,both parties should contribute financially ,atleast 2 million 
2026-04-06 18:31:49.551,More than 3 years,It's difficult but possible,Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,Work or move abroad,Probably yes,"Not yet, but I expect it will",Very anxious,"Yes, a close friend or relative",Furniture ,5000000
2026-04-06 19:49:37.857,More than 3 years,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,"Ask family for help, Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,Somewhat,Very anxious,I’ve heard cases,Wedding expenses,3 M at least 
2026-04-06 19:55:59.015,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Ask family for help, Reduce or eliminate the Shabka, Work or move abroad",Probably yes,"No, not at all",I avoid thinking about marriage,No,"We don't need big, overly expensive weddings ",No less than 400k
2026-04-06 23:47:12.501,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"Yes, completely fine with it",20–50 grams,"Ask family for help, Reduce or eliminate the Shabka",Definitely yes,"Not yet, but I expect it will",A little anxious,I’ve heard cases,"Every thing actually 
From the weeding to gold to department 
Make the marriage easier",If he have a department 1 million. if he doesn't have 2 million
2026-04-07 06:42:58.278,2–3 years,It's difficult but possible,Apartment cost,"Yes, but only if both families agree",1–20 grams,"Delay the wedding, Ask family for help",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative","I believe the most important tradition to reconsider is the excessive demand for gold 'Shabka', which has become a significant financial burden that many young people can no longer afford due to the current economic crisis.","In my view, a young man probably needs to save at least 500,000 to 700,000 EGP to cover the basic costs of a modest apartment and furniture."
2026-04-07 06:44:46.413,I have no plans yet,"No, it's completely unrealistic",Furniture and setup costs,"No, gold is a non-negotiable tradition",1–20 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Not yet, but I expect it will",I avoid thinking about marriage,I’ve heard cases,I think people should stop spending so much on furniture and expensive appliances that aren't even used. The pressure to buy a complete set for a house is just too much right now.,
2026-04-07 06:47:03.635,Within 1 year,"Yes, it's manageable",Gold (Shabka),"Yes, completely fine with it",1–20 grams,"Ask family for help, Reduce or eliminate the Shabka",Probably yes,Somewhat,A little anxious,No,"Society should definitely reconsider the practice of the 'Mahr'. While it is a religious right, the amounts being requested today are often beyond the capabilities of most young men starting their careers.",
2026-04-07 06:49:25.398,Within 1 year,"No, it's completely unrealistic",Apartment cost,"No, gold is a non-negotiable tradition",20–50 grams,"Delay the wedding, Ask family for help",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",I believe the 'Shabka' is no longer sustainable in its current form. Families should focus on what's necessary for the home rather than buying expensive gold that just sits in a box.,
2026-04-07 06:51:18.271,I have no plans yet,It's difficult but possible,Gold (Shabka),The Shabka should be eliminated entirely,Skip it entirely (0 grams),Work or move abroad,Definitely yes,Somewhat,Very anxious,"Yes, a close friend or relative",The social obligation to purchase a massive amount of gold as 'Shabka' is outdated. It puts undue pressure on the groom and doesn't reflect the actual needs of a modern couple.,
2026-04-07 06:53:21.373,More than 3 years,"No, it's completely unrealistic",Apartment cost,"Yes, completely fine with it",1–20 grams,"Delay the wedding, Reduce or eliminate the Shabka",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",I think the tradition of providing a fully furnished 'Gihaz' should be reconsidered. Couples should start with the essentials and buy more things as they can afford them over time.,
2026-04-07 06:55:36.141,Within 1 year,It's difficult but possible,Gold (Shabka),"Yes, but only if both families agree",1–20 grams,"Ask family for help, Reduce or eliminate the Shabka",Probably yes,Somewhat,A little anxious,I’ve heard cases,I think the 'Maffarsh' (excessive buying of kitchenware and cloth) is a waste of money. Societies should prioritize the couple's ability to live together comfortably over showing off hundreds of sets of items they don't even need.,"Considering the cost of a basic apartment and simple furniture, I believe a young man needs around 450,000 to 550,000 EGP to get married comfortably today."
2026-04-07 06:57:21.139,2–3 years,"No, it's completely unrealistic",Gold (Shabka),"No, gold is a non-negotiable tradition",20–50 grams,"Delay the wedding, Ask family for help",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",The high demands for gold and expensive jewelry are becoming a major obstacle for many families. Society should be more flexible and accept simpler tokens of commitment.,"For a young man to cover the basics today, I believe a minimum of 700,000 to 800,000 EGP is required, given the prices of rent and the essential furniture."
2026-04-07 06:59:25.173,2–3 years,It's difficult but possible,Gold (Shabka),"Yes, completely fine with it",1–20 grams,"Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,Somewhat,A little anxious,I’ve heard cases,I believe the high cost of the 'Shabka' is no longer reasonable given the economic situation. Society should encourage simpler symbolic gifts during the engagement period.,"To cover the basic requirements of marriage today, a young man probably needs to save around 500,000 EGP, which is a very high target for most graduates."
2026-04-07 07:01:41.559,2–3 years,"No, it's completely unrealistic",Gold (Shabka),"No, gold is a non-negotiable tradition",100+ grams regardless of price,"Delay the wedding, Ask family for help",Definitely yes,"Yes, significantly",Very anxious,"Yes, a close friend or relative",The social expectation to provide 100+ grams of gold is becoming impossible for many young men. This tradition needs to be changed to something more realistic and symbolic.,"Considering today's prices, I believe a young man needs to save at least 1,000,000 EGP to successfully establish a home and meet all social expectations."
2026-04-07 07:07:14.821,More than 3 years,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Reduce or eliminate the Shabka, Work or move abroad",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",el shabka wel fash5ara el fashla di lazm tetghery. a7a eh el as3ar di bgd.,nobody can save this money asln. el donia ray7a f dahya keda.
2026-04-07 07:08:46.794,More than 3 years,"No, it's completely unrealistic",Furniture and setup costs,"Yes, completely fine with it",1–20 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",Very anxious,"Yes, me personally",el kashf 3ala el 3afsh wel 7agat di klam fashl. dol nas ma3ndhomsh dam.,3 million egp. eh el habal da. as3ar f el sama bgd.
2026-04-07 07:09:49.582,I have no plans yet,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",el kashf wel 7waraat di lazm tetghery. a7a keda kteer awy. nas fadelha tesh5or bgd.,4 million egp kman wala eh. dol nas maganeen. how can anyone afford this.
2026-04-07 07:11:02.045,More than 3 years,"No, it's completely unrealistic",Wedding expenses,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",Very anxious,"Yes, me personally",el kashf 3la el 3afsh dah akbar habal. eh el nas el fadia di. a7a keda kter.,at least 2 million egp. keda dol nas maganeen bgd. eh el fash5ara di.
2026-04-07 07:12:01.632,More than 3 years,"No, it's completely unrealistic",Gold (Shabka),The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Reduce or eliminate the Shabka",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",el mahr wel fash5ara di lazm tetghery. eh el habal el f nas da. a7a keda kteer. bgd keda kter awy be gaby.,
2026-04-07 07:13:10.505,More than 3 years,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",el kashf 3la el 3afsh dah akbar habal f el balad di. nas ma3ndhomsh dam. a7a keda kteer.,5 million egp or more. nobody can save keda. el donia mosh keda asln.
2026-04-07 07:14:07.151,More than 3 years,"No, it's completely unrealistic",Gold (Shabka),The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",el kashf wel mahr wel fash5ara di lazm tetghery. eh el habal el f nas da. a7a keda kteer. bgd keda kter awy.,
2026-04-07 07:15:25.523,More than 3 years,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",el kashf 3la el 3afsh dah akbar habal f el balad di. nas ma3ndhomsh dam. a7a keda kteer. gamy awy.,
2026-04-07 07:16:31.867,More than 3 years,"No, it's completely unrealistic",Gold (Shabka),The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",el kashf wel habal dah lazm nelghih. nas fadya bgd. a7a eh el habal da. keda kter bgd.,any big number. dol nas maganeen. mafesh s7 de. we are doomed keda.
2026-04-07 07:17:49.584,More than 3 years,"No, it's completely unrealistic",Apartment cost,The Shabka should be eliminated entirely,Skip it entirely (0 grams),"Delay the wedding, Work or move abroad",Definitely yes,"Yes, significantly",I avoid thinking about marriage,"Yes, me personally",al mahr wel shabka wel habal dah lazm nelghih. nas ma3ndhomsh dam. a7a keda kteer bgd awy. keda keter awy be gaby.,6 million egp kman wala eh. donia ray7a f dahya bgd. nobody can save keda asln. dol nas maganeen.
2026-04-07 08:16:17.458,I have no plans yet,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",20–50 grams,"Delay the wedding, Work or move abroad",Definitely yes,"Not yet, but I expect it will",I avoid thinking about marriage,I’ve heard cases,The Farah as it's not particularly needed and can be reconsidered,10 million for everything
2026-04-07 09:37:21.141,Within 1 year,It's difficult but possible,Gold (Shabka),"No, gold is a non-negotiable tradition",20–50 grams,Work or move abroad,Definitely yes,Somewhat,Very anxious,No,,10000000
2026-04-07 10:22:28.638,2–3 years,"No, it's completely unrealistic",Apartment cost,"Yes, but only if both families agree",1–20 grams,"Ask family for help, Reduce or eliminate the Shabka",Definitely yes,"Yes, significantly",A little anxious,I’ve heard cases,"In my opinion, we need to completely drop the expenses spent purely on appearances and social pressure. Things like extravagant weddings that cost a fortune, or buying unnecessary furniture like the 'Nish' (china cabinet) just to show off to guests. Instead of wasting hundreds of thousands on a single night or on things we never use, this money should be invested in real assets that preserve value like gold or used to build a stronger, debt-free financial foundation for the couple's future.""","There’s no fixed amount it depends on agreement and simplicity. A starting budget of about 250,000–400,000 EGP can cover the basics, but what matters more is financial discipline, controlling expenses, and saving consistently. Marriage is about ongoing financial management, not just having a large upfront sum."
